<<<<<<< HEAD
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
7488, 36.75, 23.51, 36.75, 23.09, 36.66, 22.70, 36.30, 22.33
7987.2, 37.52, 24.11, 37.50, 23.68, 37.16, 23.24, 37.25, 23.16
8486.4, 38.49, 24.58, 38.00, 24.26, 38.25, 23.65, 38.25, 23.65
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.62, 21.56, 0.00, 0.00, 34.00, 21.30
6489.6, 0.00, 0.00, 34.75, 22.28, 0.00, 0.00, 35.67, 22.07
6988.8, 0.00, 0.00, 36.25, 22.83, 0.00, 0.00, 36.00, 22.36
7488, 36.25, 23.79, 36.41, 23.27, 36.48, 23.13, 36.09, 22.73
7987.2, 37.58, 24.30, 37.62, 23.94, 37.35, 23.57, 37.45, 23.48
8486.4, 37.99, 24.72, 37.69, 24.48, 38.01, 23.84, 38.02, 23.95
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.25, 20.37, 0.00, 0.00, 33.29, 20.22
6489.6, 0.00, 0.00, 34.51, 21.19, 0.00, 0.00, 34.89, 20.87
6988.8, 0.00, 0.00, 35.71, 21.92, 0.00, 0.00, 35.50, 21.22
7488, 36.00, 22.75, 36.00, 22.08, 35.67, 21.82, 35.55, 21.81
7987.2, 36.60, 23.35, 36.50, 22.82, 36.19, 22.31, 36.48, 22.43
8486.4, 37.76, 23.95, 37.24, 23.53, 37.46, 22.69, 37.50, 23.04
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.65, 20.78, 0.00, 0.00, 33.41, 20.23
6489.6, 0.00, 0.00, 34.79, 21.53, 0.00, 0.00, 35.45, 21.05
6988.8, 0.00, 0.00, 36.19, 22.07, 0.00, 0.00, 35.75, 21.26
7488, 36.02, 22.81, 36.24, 22.41, 36.04, 22.00, 35.65, 21.56
7987.2, 36.70, 23.37, 36.74, 22.97, 36.59, 22.64, 36.88, 22.37
8486.4, 37.74, 23.97, 37.25, 23.57, 37.66, 23.19, 37.29, 22.96
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.25, 20.59, 0.00, 0.00, 33.25, 20.15
6489.6, 0.00, 0.00, 34.42, 21.21, 0.00, 0.00, 34.56, 20.81
6988.8, 0.00, 0.00, 35.75, 21.66, 0.00, 0.00, 35.50, 21.04
7488, 35.80, 22.62, 35.75, 22.30, 35.48, 21.69, 35.32, 21.64
7987.2, 36.49, 23.27, 36.96, 22.86, 36.10, 22.39, 36.16, 22.28
8486.4, 37.58, 23.80, 37.21, 23.51, 37.25, 22.81, 37.25, 22.79
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.25, 20.62, 0.00, 0.00, 33.25, 20.33
6489.6, 0.00, 0.00, 34.50, 21.32, 0.00, 0.00, 35.26, 21.18
6988.8, 0.00, 0.00, 35.99, 21.74, 0.00, 0.00, 35.51, 21.39
7488, 35.65, 22.48, 35.86, 22.25, 35.61, 21.73, 35.62, 21.81
7987.2, 36.33, 23.09, 36.50, 22.77, 36.27, 22.31, 36.50, 22.45
8486.4, 37.51, 23.74, 37.19, 23.41, 37.35, 22.88, 37.54, 23.03
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 35.04, 20.97, 0.00, 0.00, 33.56, 20.49
6489.6, 0.00, 0.00, 35.06, 21.75, 0.00, 0.00, 35.09, 21.24
6988.8, 0.00, 0.00, 36.25, 22.48, 0.00, 0.00, 36.00, 21.51
7488, 36.20, 23.12, 36.50, 22.74, 40.09, 26.03, 35.85, 22.09
7987.2, 36.86, 23.54, 37.05, 23.30, 41.75, 28.03, 36.61, 22.57
8486.4, 38.15, 24.20, 37.90, 24.01, 43.90, 30.24, 37.90, 23.17
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.92, 21.05, 0.00, 0.00, 34.25, 20.63
6489.6, 0.00, 0.00, 35.25, 21.81, 0.00, 0.00, 35.29, 21.29
6988.8, 0.00, 0.00, 36.00, 22.33, 0.00, 0.00, 35.61, 21.54
7488, 36.42, 23.17, 36.25, 22.87, 35.86, 22.27, 36.32, 22.07
7987.2, 37.25, 23.73, 37.25, 23.51, 36.77, 22.82, 36.86, 22.76
8486.4, 37.75, 24.18, 37.60, 24.02, 37.70, 23.22, 37.76, 23.24
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.36, 21.13, 0.00, 0.00, 34.14, 20.98
6489.6, 0.00, 0.00, 34.50, 21.72, 0.00, 0.00, 34.76, 21.42
6988.8, 0.00, 0.00, 35.75, 22.40, 0.00, 0.00, 35.64, 21.64
7488, 35.70, 23.18, 36.00, 22.86, 35.48, 22.30, 35.55, 22.18
7987.2, 36.59, 23.66, 36.50, 23.34, 36.20, 22.80, 36.30, 22.83
8486.4, 37.26, 24.21, 37.39, 24.02, 37.62, 23.50, 37.69, 23.40
PATHLOSS_CAL_RESULTS, , , , , , , , 
MHz, a0ul, a0dl, a1ul, a1dl, a2ul, a2dl, a3ul, a3dl
5800, 0.00, 0.00, 34.41, 20.77, 0.00, 0.00, 33.25, 20.32
6489.6, 0.00, 0.00, 34.58, 21.50, 0.00, 0.00, 35.25, 21.00
6988.8, 0.00, 0.00, 36.00, 22.28, 0.00, 0.00, 35.75, 21.28
7488, 36.02, 22.86, 36.25, 22.39, 35.91, 22.05, 35.79, 21.85
7987.2, 36.81, 23.45, 37.00, 23.15, 36.46, 22.40, 37.10, 22.59
8486.4, 37.86, 24.25, 37.50, 24.10, 37.50, 22.84, 37.76, 23.19
=======
Jdud,dkdidk,dididj
>>>>>>> 1961c0f7f5a96b33e396130626d6a5b8cfe98407
